depto_key,regional,leads,emitidos,tasa_emision
MEDELLIN ANTIOQUIA,Sin regional,301,37,0.12292358803986711
CALI VALLE DEL CAUCA,Sin regional,164,20,0.12195121951219512
BARRANQUILLA ATLANTICO,Sin regional,65,11,0.16923076923076924
NA,Sin regional,62,7,0.11290322580645161
PEREIRA RISARALDA,Sin regional,39,8,0.20512820512820512
BUCARAMANGA SANTANDER,Sin regional,29,8,0.27586206896551724
IBAGUE TOLIMA,Sin regional,22,3,0.13636363636363635
VILLAVICENCIO META,Sin regional,22,5,0.22727272727272727
CARTAGENA DE INDIAS BOLIVAR,Sin regional,16,4,0.25
PALMIRA VALLE DEL CAUCA,Sin regional,16,5,0.3125
CARRETERAS NACIONALES,Sin regional,15,0,0
POPAYAN CAUCA,Sin regional,15,4,0.26666666666666666
CUCUTA NORTE DE SANTANDER,Sin regional,14,3,0.21428571428571427
ENVIGADO ANTIOQUIA,Sin regional,14,3,0.21428571428571427
CHIA CUNDINAMARCA,Sin regional,12,3,0.25
MANIZALES CALDAS,Sin regional,11,2,0.18181818181818182
MOSQUERA CUNDINAMARCA,Sin regional,11,2,0.18181818181818182
BELLO ANTIOQUIA,Sin regional,10,0,0
RIONEGRO ANTIOQUIA,Sin regional,10,2,0.2
CAJICA CUNDINAMARCA,Sin regional,9,2,0.2222222222222222
SANTA MARTA MAGDALENA,Sin regional,9,1,0.1111111111111111
TUNJA BOYACA,Sin regional,9,2,0.2222222222222222
ARMENIA QUINDIO,Sin regional,8,0,0
ITAGUI ANTIOQUIA,Sin regional,8,0,0
PASTO NARINO,Sin regional,8,0,0
TULUA VALLE DEL CAUCA,Sin regional,8,0,0
COTA CUNDINAMARCA,Sin regional,7,0,0
MADRID CUNDINAMARCA,Sin regional,7,2,0.2857142857142857
YUMBO VALLE DEL CAUCA,Sin regional,7,2,0.2857142857142857
BARRANCABERMEJA SANTANDER,Sin regional,6,1,0.16666666666666666
BUCARAMANGA,Sin regional,6,2,0.3333333333333333
CARTAGO VALLE DEL CAUCA,Sin regional,6,1,0.16666666666666666
DOSQUEBRADAS RISARALDA,Sin regional,6,1,0.16666666666666666
SABANETA ANTIOQUIA,Sin regional,6,2,0.3333333333333333
FUSAGASUGA CUNDINAMARCA,Sin regional,5,1,0.2
DUITAMA BOYACA,Sin regional,4,0,0
FLORENCIA CAQUETA,Sin regional,4,2,0.5
MONTERIA CORDOBA,Sin regional,4,0,0
NEIVA HUILA,Sin regional,4,0,0
RETIRO ANTIOQUIA,Sin regional,4,0,0
SINCELEJO SUCRE,Sin regional,4,0,0
BARBOSA ANTIOQUIA,Sin regional,3,2,0.6666666666666666
COPACABANA ANTIOQUIA,Sin regional,3,0,0
LA CEJA ANTIOQUIA,Sin regional,3,0,0
SOACHA CUNDINAMARCA,Sin regional,3,1,0.3333333333333333
SOGAMOSO BOYACA,Sin regional,3,1,0.3333333333333333
SOLEDAD ATLANTICO,Sin regional,3,0,0
VALLEDUPAR CESAR,Sin regional,3,0,0
ZIPAQUIRA CUNDINAMARCA,Sin regional,3,0,0
ACACIAS META,Sin regional,2,0,0
ANDES ANTIOQUIA,Sin regional,2,0,0
APARTADO ANTIOQUIA,Sin regional,2,0,0
BUENAVENTURA VALLE DEL CAUCA,Sin regional,2,0,0
CALIMA VALLE DEL CAUCA,Sin regional,2,0,0
ESPINAL TOLIMA,Sin regional,2,0,0
FACATATIVA CUNDINAMARCA,Sin regional,2,1,0.5
FLORIDABLANCA SANTANDER,Sin regional,2,0,0
GUADALAJARA DE BUGA VALLE DEL CAUCA,Sin regional,2,0,0
GUARNE ANTIOQUIA,Sin regional,2,1,0.5
JAMUNDI VALLE DEL CAUCA,Sin regional,2,1,0.5
MOCOA PUTUMAYO,Sin regional,2,0,0
OCANA NORTE DE SANTANDER,Sin regional,2,0,0
PRADERA VALLE DEL CAUCA,Sin regional,2,1,0.5
PUERTO BOYACA BOYACA,Sin regional,2,1,0.5
RIOHACHA LA GUAJIRA,Sin regional,2,1,0.5
TABIO CUNDINAMARCA,Sin regional,2,1,0.5
TURMEQUE BOYACA,Sin regional,2,1,0.5
VILLA DE LEYVA BOYACA,Sin regional,2,0,0
YARUMAL ANTIOQUIA,Sin regional,2,1,0.5
ABEJORRAL ANTIOQUIA,Sin regional,1,0,0
AGUACHICA CESAR,Sin regional,1,0,0
ALVARADO TOLIMA,Sin regional,1,0,0
ANAPOIMA CUNDINAMARCA,Sin regional,1,0,0
BARANOA ATLANTICO,Sin regional,1,0,0
BARRANCO DE LOBA BOLIVAR,Sin regional,1,0,0
BETULIA SANTANDER,Sin regional,1,0,0
BOCHALEMA NORTE DE SANTANDER,Sin regional,1,0,0
BOYACA BOYACA,Sin regional,1,0,0
BUGALAGRANDE VALLE DEL CAUCA,Sin regional,1,0,0
CALARCA QUINDIO,Sin regional,1,0,0
CALDAS ANTIOQUIA,Sin regional,1,0,0
CARMEN DE APICALA TOLIMA,Sin regional,1,0,0
CARTAGENA DEL CHAIRA CAQUETA,Sin regional,1,0,0
CERRITO SANTANDER,Sin regional,1,0,0
CHARALA SANTANDER,Sin regional,1,0,0
CHINCHINA CALDAS,Sin regional,1,0,0
CORDOBA QUINDIO,Sin regional,1,0,0
COROZAL SUCRE,Sin regional,1,0,0
COVENAS SUCRE,Sin regional,1,0,0
DIBULLA LA GUAJIRA,Sin regional,1,1,1
EL BAGRE ANTIOQUIA,Sin regional,1,0,0
EL DOVIO VALLE DEL CAUCA,Sin regional,1,0,0
ENTRERRIOS ANTIOQUIA,Sin regional,1,0,0
FILANDIA QUINDIO,Sin regional,1,0,0
FONSECA LA GUAJIRA,Sin regional,1,0,0
FUNZA CUNDINAMARCA,Sin regional,1,0,0
GALAPA ATLANTICO,Sin regional,1,0,0
GARAGOA BOYACA,Sin regional,1,1,1
