depto_key,departamento,regional,registros,clientes,polizas,edad_promedio,valor_cliente_promedio,participacion_clientes
BOGOTA D C,Bogota,Bogota,2312,2268,2268,45.46079295154185,13.67911013215859,0.45496489468405216
ANTIOQUIA,Antioquia,Antioquia y eje,890,879,877,43.370581527936146,13.187297605473203,0.17632898696088264
CUNDINAMARCA,Cundinamarca,Bogota,462,455,460,45.07843137254902,12.733986928104574,0.09127382146439318
VALLE DEL CAUCA,Valle del Cauca,Occidente y centro,425,419,421,46.69833729216152,13.635629453681709,0.08405215646940822
ATLANTICO,Atlantico,Costa atlantica,246,242,243,43.91358024691358,12.25432098765432,0.048545636910732194
SANTANDER,Santander,Oriente,111,108,106,45.77358490566038,13.373018867924529,0.021664994984954864
RISARALDA,Risaralda,Antioquia y eje,78,77,78,43.64102564102564,11.97948717948718,0.015446339017051154
BOYACA,Boyaca,Oriente,65,64,64,45.390625,11.0359375,0.012838515546639919
TOLIMA,Tolima,Occidente y centro,66,64,66,47.621212121212125,13.774242424242424,0.012838515546639919
CALDAS,Caldas,Antioquia y eje,58,58,57,43.21052631578947,12.164912280701754,0.011634904714142427
BOLIVAR,Bolivar,Costa atlantica,55,55,55,44.472727272727276,14.09090909090909,0.011033099297893681
META,Meta,Oriente,59,55,59,43.96610169491525,14.509152542372881,0.011033099297893681
CAUCA,Cauca,Occidente y centro,39,38,39,46.717948717948715,16.67179487179487,0.007622868605817452
QUINDIO,Quindio,Antioquia y eje,38,37,37,48.4054054054054,11.58108108108108,0.007422266800401204
NORTE DE SANTANDER,Norte de Santander,Oriente,33,33,33,45.84848484848485,12.518181818181818,0.006619859578736209
MAGDALENA,Magdalena,Costa atlantica,27,27,27,43.666666666666664,11.866666666666665,0.005416248746238716
CESAR,Cesar,Costa atlantica,23,21,22,46.59090909090909,11.513636363636364,0.004212637913741223
HUILA,Huila,Occidente y centro,21,21,21,45.476190476190474,15.50952380952381,0.004212637913741223
CORDOBA,Cordoba,Costa atlantica,17,17,17,44.05882352941177,9.78235294117647,0.0034102306920762286
NARINO,Narino,Occidente y centro,14,14,14,46.214285714285715,14.985714285714286,0.0028084252758274826
VICHADA,Vichada,Resto del pais,9,9,9,52.5,15.45,0.0018054162487462387
LA GUAJIRA,La Guajira,Costa atlantica,7,7,7,47.714285714285715,13.7,0.0014042126379137413
CASANARE,Casanare,Resto del pais,6,6,6,33.666666666666664,11.133333333333333,0.0012036108324974925
PUTUMAYO,Putumayo,Resto del pais,3,3,3,38.666666666666664,16.2,6.018054162487463e-4
CAQUETA,Caqueta,Resto del pais,2,2,2,48,35.2,4.0120361083249747e-4
CHOCO,Choco,Resto del pais,2,2,2,37,10.2,4.0120361083249747e-4
GUAVIARE,Guaviare,Resto del pais,2,2,2,42,5.949999999999999,4.0120361083249747e-4
ARAUCA,Arauca,Resto del pais,1,1,1,41,18.7,2.0060180541624874e-4
SUCRE,Sucre,Costa atlantica,1,1,1,70,10.7,2.0060180541624874e-4
