poblacion,departamento,depto_key,regional,registros,clientes,polizas
Bogota,Bogota,BOGOTA D C,Bogota,2312,2268,2268
Medellin,Antioquia,ANTIOQUIA,Antioquia y eje,474,467,467
Cali,Valle del Cauca,VALLE DEL CAUCA,Occidente y centro,320,315,317
Barranquilla,Atlantico,ATLANTICO,Costa atlantica,208,204,205
Envigado,Antioquia,ANTIOQUIA,Antioquia y eje,93,93,92
Chia,Cundinamarca,CUNDINAMARCA,Bogota,84,81,84
Cajica,Cundinamarca,CUNDINAMARCA,Bogota,70,69,69
Itagui,Antioquia,ANTIOQUIA,Antioquia y eje,59,59,59
Pereira,Risaralda,RISARALDA,Antioquia y eje,57,56,57
Sabaneta,Antioquia,ANTIOQUIA,Antioquia y eje,55,54,54
Bucaramanga,Santander,SANTANDER,Oriente,55,53,53
Ibague,Tolima,TOLIMA,Occidente y centro,53,53,53
Soacha,Cundinamarca,CUNDINAMARCA,Bogota,53,53,53
Bello,Antioquia,ANTIOQUIA,Antioquia y eje,52,52,52
Mosquera,Cundinamarca,CUNDINAMARCA,Bogota,50,50,50
Cartagena,Bolivar,BOLIVAR,Costa atlantica,47,47,47
Manizales,Caldas,CALDAS,Antioquia y eje,45,45,44
Villavicencio,Meta,META,Oriente,48,45,48
Zipaquira,Cundinamarca,CUNDINAMARCA,Bogota,37,37,37
Rionegro,Antioquia,ANTIOQUIA,Antioquia y eje,36,36,36
Palmira,Valle del Cauca,VALLE DEL CAUCA,Occidente y centro,31,31,31
Madrid,Cundinamarca,CUNDINAMARCA,Bogota,30,30,30
Armenia,Quindio,QUINDIO,Antioquia y eje,29,28,28
Floridablanca,Santander,SANTANDER,Oriente,27,27,25
Popayan,Cauca,CAUCA,Occidente y centro,28,27,28
Santa Marta,Magdalena,MAGDALENA,Costa atlantica,26,26,26
Cucuta,Norte de Santander,NORTE DE SANTANDER,Oriente,23,23,23
Funza,Cundinamarca,CUNDINAMARCA,Bogota,22,22,22
Tunja,Boyaca,BOYACA,Oriente,23,22,23
Facatativa,Cundinamarca,CUNDINAMARCA,Bogota,19,19,19
Soledad,Atlantico,ATLANTICO,Costa atlantica,19,19,19
Jamundi,Valle del Cauca,VALLE DEL CAUCA,Occidente y centro,19,18,19
La Estrella,Antioquia,ANTIOQUIA,Antioquia y eje,18,18,17
Valledupar,Cesar,CESAR,Costa atlantica,19,17,18
Neiva,Huila,HUILA,Occidente y centro,15,15,15
Fusagasuga,Cundinamarca,CUNDINAMARCA,Bogota,14,14,14
Monteria,Cordoba,CORDOBA,Costa atlantica,13,13,13
La Ceja,Antioquia,ANTIOQUIA,Antioquia y eje,13,12,13
Tocancipa,Cundinamarca,CUNDINAMARCA,Bogota,12,12,12
Duitama,Boyaca,BOYACA,Oriente,11,11,10
Sogamoso,Boyaca,BOYACA,Oriente,11,11,11
Puerto Colombia,Atlantico,ATLANTICO,Costa atlantica,10,10,10
Barrancabermeja,Santander,SANTANDER,Oriente,9,9,9
Copacabana,Antioquia,ANTIOQUIA,Antioquia y eje,9,9,9
Cota,Cundinamarca,CUNDINAMARCA,Bogota,11,9,11
El Carmen De Viboral,Antioquia,ANTIOQUIA,Antioquia y eje,9,9,9
Caldas,Antioquia,ANTIOQUIA,Antioquia y eje,9,8,9
Cartago,Valle del Cauca,VALLE DEL CAUCA,Occidente y centro,8,8,8
Dosquebradas,Risaralda,RISARALDA,Antioquia y eje,8,8,8
Girardot,Cundinamarca,CUNDINAMARCA,Bogota,8,8,8
