fuente_utm,leads,emitidos,tasa_emision,participacion
google,20530,1910,0.09303458353628836,0.65696
Orgánico,3785,489,0.12919418758256274,0.12112
web,3363,554,0.1647338685697294,0.107616
contact,2698,494,0.18309859154929578,0.086336
facebook,467,33,0.07066381156316917,0.014944
referidos,215,69,0.3209302325581395,0.00688
Contact,71,22,0.30985915492957744,0.002272
adwords,53,7,0.1320754716981132,0.001696
Sin dato,27,9,0.3333333333333333,8.64e-4
feria,25,3,0.12,8e-4
colserauto,8,0,0,2.56e-4
orgánico,4,0,0,1.28e-4
Colserauto,2,0,0,6.4e-5
chatgpt.com,2,0,0,6.4e-5
