ciudad,depto_key,regional,leads
BOGOTÁ,BOGOTA D C,Bogota,10708
MEDELLÍN,ANTIOQUIA,Antioquia y eje,4580
CALI,VALLE DEL CAUCA,Occidente y centro,2657
BARRANQUILLA,ATLANTICO,Costa atlantica,1437
Bogotá,BOGOTA D C,Bogota,870
PEREIRA,RISARALDA,Antioquia y eje,580
BUCARAMANGA,SANTANDER,Oriente,555
ENVIGADO,ANTIOQUIA,Antioquia y eje,453
IBAGUÉ,TOLIMA,Occidente y centro,414
MANIZALES,CALDAS,Antioquia y eje,412
CARTAGENA,BOLIVAR,Costa atlantica,352
VILLAVICENCIO,META,Oriente,329
Medellín,MEDELLIN ANTIOQUIA,Sin regional,301
ARMENIA,QUINDIO,Antioquia y eje,299
RIONEGRO,ANTIOQUIA,Antioquia y eje,240
CHÍA,CUNDINAMARCA,Bogota,223
SABANETA,ANTIOQUIA,Antioquia y eje,221
POPAYÁN,CAUCA,Occidente y centro,202
PALMIRA,VALLE DEL CAUCA,Occidente y centro,194
VALLEDUPAR,CESAR,Costa atlantica,180
CAJICÁ,CUNDINAMARCA,Bogota,168
CÚCUTA,NORTE DE SANTANDER,Oriente,166
Cali,CALI VALLE DEL CAUCA,Sin regional,164
BELLO,ANTIOQUIA,Antioquia y eje,162
TUNJA,BOYACA,Oriente,159
NEIVA,HUILA,Occidente y centro,156
ITAGUI,ANTIOQUIA,Antioquia y eje,146
MONTERÍA,CORDOBA,Costa atlantica,144
SANTA MARTA,MAGDALENA,Costa atlantica,138
MOSQUERA,CUNDINAMARCA,Bogota,137
ZIPAQUIRÁ,CUNDINAMARCA,Bogota,129
PASTO,NARINO,Occidente y centro,125
FUSAGASUGÁ,CUNDINAMARCA,Bogota,98
MADRID,CUNDINAMARCA,Bogota,89
BARRANCABERMEJA,SANTANDER,Oriente,88
LA CEJA,ANTIOQUIA,Antioquia y eje,76
YOPAL,CASANARE,Resto del pais,75
GUADALAJARA DE BUGA,VALLE DEL CAUCA,Occidente y centro,72
SOGAMOSO,BOYACA,Oriente,72
TULUÁ,VALLE DEL CAUCA,Occidente y centro,72
FACATATIVÁ,CUNDINAMARCA,Bogota,69
Barranquilla,BARRANQUILLA ATLANTICO,Sin regional,65
FUNZA,CUNDINAMARCA,Bogota,65
SINCELEJO,SUCRE,Costa atlantica,62
SOACHA,CUNDINAMARCA,Bogota,61
CARTAGO,VALLE DEL CAUCA,Occidente y centro,60
DOSQUEBRADAS,RISARALDA,Antioquia y eje,60
DUITAMA,BOYACA,Oriente,57
FLORIDABLANCA,SANTANDER,Oriente,55
TOCANCIPÁ,CUNDINAMARCA,Bogota,51
LA ESTRELLA,ANTIOQUIA,Antioquia y eje,47
Sin dato,NA,Sin regional,46
GIRARDOT,CUNDINAMARCA,Bogota,45
COPACABANA,ANTIOQUIA,Antioquia y eje,44
JAMUNDÍ,VALLE DEL CAUCA,Occidente y centro,44
MARINILLA,ANTIOQUIA,Antioquia y eje,44
EL CARMEN DE VIBORAL,ANTIOQUIA,Antioquia y eje,42
Pereira,PEREIRA RISARALDA,Sin regional,39
GUARNE,ANTIOQUIA,Antioquia y eje,38
LA DORADA,CALDAS,Antioquia y eje,37
ACACÍAS,META,Oriente,35
RIOHACHA,LA GUAJIRA,Costa atlantica,34
COTA,CUNDINAMARCA,Bogota,33
YUMBO,VALLE DEL CAUCA,Occidente y centro,32
PITALITO,HUILA,Occidente y centro,31
APARTADÓ,ANTIOQUIA,Antioquia y eje,30
FLORENCIA,CAQUETA,Resto del pais,30
Bucaramanga,BUCARAMANGA SANTANDER,Sin regional,29
PIEDECUESTA,SANTANDER,Oriente,28
RETIRO,ANTIOQUIA,Antioquia y eje,28
GIRARDOTA,ANTIOQUIA,Antioquia y eje,27
SANTA ROSA DE CABAL,RISARALDA,Antioquia y eje,27
BUENAVENTURA,VALLE DEL CAUCA,Occidente y centro,25
IPIALES,NARINO,Occidente y centro,25
OCAÑA,NORTE DE SANTANDER,Oriente,24
TENJO,CUNDINAMARCA,Bogota,23
Ibagué,IBAGUE TOLIMA,Sin regional,22
Villavicencio,VILLAVICENCIO META,Sin regional,22
CHIQUINQUIRÁ,BOYACA,Oriente,21
GIRÓN,SANTANDER,Oriente,20
SANTANDER DE QUILICHAO,CAUCA,Occidente y centro,20
SOLEDAD,ATLANTICO,Costa atlantica,20
CALDAS,ANTIOQUIA,Antioquia y eje,19
CALARCA,QUINDIO,Antioquia y eje,18
PAIPA,BOYACA,Oriente,17
SAN GIL,SANTANDER,Oriente,17
SOCORRO,SANTANDER,Oriente,17
ABEJORRAL,ANTIOQUIA,Antioquia y eje,16
AGUACHICA,CESAR,Costa atlantica,16
CANDELARIA,VALLE DEL CAUCA,Occidente y centro,16
Cartagena de Indias,CARTAGENA DE INDIAS BOLIVAR,Sin regional,16
Palmira,PALMIRA VALLE DEL CAUCA,Sin regional,16
CARRETERAS NACIONALES,CARRETERAS NACIONALES,Sin regional,15
LA CALERA,CUNDINAMARCA,Bogota,15
LA MESA,CUNDINAMARCA,Bogota,15
Popayán,POPAYAN CAUCA,Sin regional,15
QUIBDÓ,CHOCO,Resto del pais,15
SOPÓ,CUNDINAMARCA,Bogota,15
Cúcuta,CUCUTA NORTE DE SANTANDER,Sin regional,14
Envigado,ENVIGADO ANTIOQUIA,Sin regional,14
HONDA,TOLIMA,Occidente y centro,14
MELGAR,TOLIMA,Occidente y centro,14
PUERTO BOYACÁ,BOYACA,Oriente,14
VILLA DE SAN DIEGO DE UBATE,CUNDINAMARCA,Bogota,13
Chía,CHIA CUNDINAMARCA,Sin regional,12
BARBOSA,SANTANDER,Oriente,11
CIRCASIA,QUINDIO,Antioquia y eje,11
CIÉNAGA,MAGDALENA,Costa atlantica,11
EL CERRITO,VALLE DEL CAUCA,Occidente y centro,11
GUADUAS,CUNDINAMARCA,Bogota,11
MAICAO,LA GUAJIRA,Costa atlantica,11
MARIQUITA,TOLIMA,Occidente y centro,11
MONTELÍBANO,CORDOBA,Costa atlantica,11
Manizales,MANIZALES CALDAS,Sin regional,11
Mosquera,MOSQUERA CUNDINAMARCA,Sin regional,11
PAMPLONA,NORTE DE SANTANDER,Oriente,11
PUERTO COLOMBIA,ATLANTICO,Costa atlantica,11
PUERTO GAITÁN,META,Oriente,11
VILLETA,CUNDINAMARCA,Bogota,11
ZARZAL,VALLE DEL CAUCA,Occidente y centro,11
ARMENIA,ANTIOQUIA,Antioquia y eje,10
Bello,BELLO ANTIOQUIA,Sin regional,10
CAUCASIA,ANTIOQUIA,Antioquia y eje,10
EL SANTUARIO,ANTIOQUIA,Antioquia y eje,10
Rionegro,RIONEGRO ANTIOQUIA,Sin regional,10
TABIO,CUNDINAMARCA,Bogota,10
TUMACO,NARINO,Occidente y centro,10
YARUMAL,ANTIOQUIA,Antioquia y eje,10
ARAUCA,ARAUCA,Resto del pais,9
BARBOSA,ANTIOQUIA,Antioquia y eje,9
Cajicá,CAJICA CUNDINAMARCA,Sin regional,9
FLORIDA,VALLE DEL CAUCA,Occidente y centro,9
LA UNIÓN,VALLE DEL CAUCA,Occidente y centro,9
MOCOA,PUTUMAYO,Resto del pais,9
RESTREPO,META,Oriente,9
SANTA ROSA DE OSOS,ANTIOQUIA,Antioquia y eje,9
Santa Marta,SANTA MARTA MAGDALENA,Sin regional,9
TURBACO,BOLIVAR,Costa atlantica,9
Tunja,TUNJA BOYACA,Sin regional,9
AGUAZUL,CASANARE,Resto del pais,8
