fuente_utm,leads,emitidos,perdidos,tasa_emision,participacion
Google,20530,1910,18550,0.09303458353628836,0.65696
Orgánico,3789,489,3278,0.1290577988915281,0.121248
Web,3363,554,2781,0.1647338685697294,0.107616
Contact,2769,516,2239,0.18634886240520043,0.088608
Facebook,467,33,431,0.07066381156316917,0.014944
Referidos,215,69,143,0.3209302325581395,0.00688
Adwords,53,7,46,0.1320754716981132,0.001696
Sin Dato,27,9,18,0.3333333333333333,8.64e-4
Feria,25,3,22,0.12,8e-4
Colserauto,10,0,10,0,3.2e-4
Chatgpt.com,2,0,2,0,6.4e-5
