regional,fuente_utm,leads,emitidos,tasa_emision,participacion_regional
Antioquia y eje,Google,5600,437,0.07803571428571429,0.7
Antioquia y eje,Orgánico,1063,120,0.11288805268109126,0.132875
Antioquia y eje,Web,922,131,0.1420824295010846,0.11525
Antioquia y eje,Contact,262,68,0.2595419847328244,0.03275
Antioquia y eje,Facebook,134,5,0.03731343283582089,0.01675
Antioquia y eje,Adwords,14,1,0.07142857142857142,0.00175
Antioquia y eje,Sin Dato,2,0,0,2.5e-4
Antioquia y eje,Chatgpt.com,1,0,0,1.25e-4
Antioquia y eje,Colserauto,1,0,0,1.25e-4
Antioquia y eje,Referidos,1,0,0,1.25e-4
Bogota,Google,8373,984,0.1175206019347904,0.6436808118081181
Bogota,Orgánico,1593,238,0.14940364092906466,0.12246309963099632
Bogota,Web,1446,284,0.19640387275242047,0.11116236162361623
Bogota,Contact,1275,268,0.21019607843137256,0.09801660516605167
Bogota,Facebook,166,20,0.12048192771084337,0.012761377613776138
Bogota,Referidos,88,38,0.4318181818181818,0.006765067650676507
Bogota,Adwords,24,3,0.125,0.0018450184501845018
Bogota,Feria,23,3,0.13043478260869565,0.0017681426814268142
Bogota,Sin Dato,15,4,0.26666666666666666,0.0011531365313653136
Bogota,Colserauto,4,0,0,3.075030750307503e-4
Bogota,Chatgpt.com,1,0,0,7.687576875768758e-5
Costa atlantica,Google,1831,153,0.0835608956854178,0.7066769587032034
Costa atlantica,Orgánico,336,40,0.11904761904761904,0.1296796603627943
Costa atlantica,Web,292,38,0.13013698630136986,0.11269780007719027
Costa atlantica,Contact,75,14,0.18666666666666668,0.028946352759552298
Costa atlantica,Facebook,51,3,0.058823529411764705,0.01968351987649556
Costa atlantica,Adwords,4,3,0.75,0.0015438054805094559
Costa atlantica,Colserauto,1,0,0,3.8595137012736397e-4
Costa atlantica,Referidos,1,0,0,3.8595137012736397e-4
Occidente y centro,Google,3227,237,0.0734428261543229,0.7294303797468354
Occidente y centro,Orgánico,525,55,0.10476190476190476,0.11867088607594936
Occidente y centro,Web,446,61,0.1367713004484305,0.10081374321880651
Occidente y centro,Contact,141,28,0.19858156028368795,0.03187160940325497
Occidente y centro,Facebook,72,3,0.041666666666666664,0.0162748643761302
Occidente y centro,Adwords,8,0,0,0.0018083182640144665
Occidente y centro,Referidos,4,0,0,9.041591320072332e-4
Occidente y centro,Colserauto,1,0,0,2.260397830018083e-4
Oriente,Google,1310,90,0.06870229007633588,0.6971793507184673
Oriente,Orgánico,237,33,0.13924050632911392,0.12613092070250134
Oriente,Web,227,36,0.15859030837004406,0.12080894092602448
Oriente,Contact,55,12,0.21818181818181817,0.02927088877062267
Oriente,Facebook,41,2,0.04878048780487805,0.021820117083555083
Oriente,Adwords,3,0,0,0.0015965939329430547
Oriente,Colserauto,3,0,0,0.0015965939329430547
Oriente,Feria,2,0,0,0.0010643959552953698
Oriente,Referidos,1,1,1,5.321979776476849e-4
Resto del pais,Google,164,4,0.024390243902439025,0.7663551401869159
Resto del pais,Orgánico,22,1,0.045454545454545456,0.102803738317757
Resto del pais,Web,22,2,0.09090909090909091,0.102803738317757
Resto del pais,Contact,3,1,0.3333333333333333,0.014018691588785047
Resto del pais,Facebook,3,0,0,0.014018691588785047
Sin regional,Contact,958,125,0.1304801670146138,0.8447971781305115
Sin regional,Referidos,120,30,0.25,0.10582010582010581
Sin regional,Google,25,5,0.2,0.02204585537918871
Sin regional,Orgánico,13,2,0.15384615384615385,0.01146384479717813
Sin regional,Sin Dato,10,5,0.5,0.008818342151675485
Sin regional,Web,8,2,0.25,0.007054673721340388
