fuente_utm,medio_utm,campana_utm,leads,emitidos,perdidos,tasa_emision,participacion
Google,cpc,canal digital autos,14204,1256,12897,0.08842579555054914,0.454528
Google,pmax,performance max digital autos,5301,486,4800,0.09168081494057725,0.169632
Orgánico,sin dato,sin dato,3738,472,3244,0.12627073301230604,0.119616
Web,boton,quiero un seguro,3277,528,2723,0.16112297833384193,0.104864
Contact,sin dato,sin dato,2175,350,1811,0.16091954022988506,0.0696
Facebook,meta,canal_digital_autos,317,22,292,0.0694006309148265,0.010144
Google,pmax competencia,performance max digital autos competencia,275,27,247,0.09818181818181818,0.0088
Google,sin dato,sin dato,246,84,161,0.34146341463414637,0.007872
Google,demand gen,demandgen digital autos,213,9,203,0.04225352112676056,0.006816
Referidos,sin dato,sin dato,211,67,141,0.3175355450236967,0.006752
Facebook,meta,canal digital autos,134,8,126,0.05970149253731343,0.004288
Google,pmax,performance max digital hogar,119,19,99,0.15966386554621848,0.003808
Contact,cristian lopez,sin dato,113,35,78,0.30973451327433627,0.003616
Contact,catherine agudelo,sin dato,74,20,54,0.2702702702702703,0.002368
Web,sin dato,sin dato,63,19,42,0.30158730158730157,0.002016
Contact,julian paez,sin dato,59,13,46,0.22033898305084745,0.001888
Contact,ivan pedrozo,sin dato,49,16,33,0.32653061224489793,0.001568
Contact,david jimenez,sin dato,47,8,39,0.1702127659574468,0.001504
Google,cpc,canal digital hogar,46,8,38,0.17391304347826086,0.001472
Adwords,cpc,canal digital autos,43,5,38,0.11627906976744186,0.001376
Contact,ingrid sierra,sin dato,38,15,23,0.39473684210526316,0.001216
Contact,jonny ruz,sin dato,34,13,21,0.38235294117647056,0.001088
Contact,janin rubio,sin dato,33,8,25,0.24242424242424243,0.001056
Google,cpc,canal digital autos prueba,32,2,30,0.0625,0.001024
Sin Dato,sin dato,sin dato,27,9,18,0.3333333333333333,8.64e-4
Contact,luis valderrama,sin dato,24,4,20,0.16666666666666666,7.68e-4
Feria,link,feria del automovil,23,3,20,0.13043478260869565,7.36e-4
Contact,nataly chica,sin dato,14,6,8,0.42857142857142855,4.48e-4
Google,cpc,always on seguros autos,13,0,13,0,4.16e-4
Google,ingrid sierra,canal digital autos,12,5,7,0.4166666666666667,3.84e-4
Contact,cpc,canal digital autos,12,4,8,0.3333333333333333,3.84e-4
Facebook,meta,canal_digital_autos_hotsale,11,2,9,0.18181818181818182,3.52e-4
Contact,erika cardona,sin dato,10,4,6,0.4,3.2e-4
Orgánico,cpc,canal digital autos,10,4,6,0.4,3.2e-4
Orgánico,boton,quiero un seguro,10,2,8,0.2,3.2e-4
Colserauto,sin dato,sin dato,9,0,9,0,2.88e-4
Google,david jimenez,canal digital autos,8,1,7,0.125,2.56e-4
Google,luis valderrama,canal digital autos,7,3,4,0.42857142857142855,2.24e-4
Orgánico,catherine agudelo,sin dato,7,2,5,0.2857142857142857,2.24e-4
Adwords,pmax,performance max digital autos,7,1,6,0.14285714285714285,2.24e-4
Contact,pmax,performance max digital autos,7,1,6,0.14285714285714285,2.24e-4
Web,cpc,canal digital autos,6,1,5,0.16666666666666666,1.92e-4
Contact,jonny ruz,canal digital autos,5,2,3,0.4,1.6e-4
Contact,julian paez,canal digital autos,5,2,3,0.4,1.6e-4
Orgánico,david jimenez,sin dato,5,2,3,0.4,1.6e-4
