departamento,mes,anio,periodo,marca,linea,tecnologia,unidades
amazonas,enero,2026,202601,Ford,Ranger,Diesel,2
amazonas,enero,2026,202601,Chevrolet,Tracker,Gasolina,2
amazonas,enero,2026,202601,Kia,Picanto,Gasolina,2
amazonas,enero,2026,202601,Kia,Sonet,Gasolina,1
amazonas,enero,2026,202601,Great Wall,Poer Comercial,Diesel,1
amazonas,enero,2026,202601,Chevrolet,N400,Gasolina,1
amazonas,enero,2026,202601,Ford,F-150,Gasolina,1
amazonas,enero,2025,202501,Jeep,Compass,Gasolina,1
antioquia,enero,2025,202501,Kia,Picanto,Gasolina,79
antioquia,enero,2026,202601,Kia,Picanto,Gasolina,140
antioquia,enero,2025,202501,Toyota,Land Cruiser Prado,Diesel,42
antioquia,enero,2026,202601,Toyota,Land Cruiser Prado,Diesel,139
antioquia,enero,2025,202501,Byd,Byd Yuan Up,Eléctrico,62
antioquia,enero,2026,202601,Byd,Byd Yuan Up,Eléctrico,110
antioquia,enero,2025,202501,Suzuki,Swift,Hibrido No Enchufable,19
antioquia,enero,2026,202601,Suzuki,Swift,Hibrido No Enchufable,109
antioquia,enero,2025,202501,Mazda,Cx-5,Gasolina,53
antioquia,enero,2026,202601,Mazda,Cx-5,Gasolina,102
antioquia,enero,2026,202601,Renault,Logan,Gas Convertido,101
antioquia,enero,2025,202501,Renault,Duster,Gasolina,81
antioquia,enero,2026,202601,Renault,Duster,Gasolina,100
antioquia,enero,2025,202501,Mazda,Cx-30,Hibrido No Enchufable,79
antioquia,enero,2026,202601,Mazda,Cx-30,Hibrido No Enchufable,100
antioquia,enero,2025,202501,Chevrolet,Onix,Gasolina,49
antioquia,enero,2026,202601,Chevrolet,Onix,Gasolina,90
antioquia,enero,2025,202501,Mazda,2 Hatchback,Gasolina,76
antioquia,enero,2026,202601,Mazda,2 Hatchback,Gasolina,89
antioquia,enero,2025,202501,Renault,Kardian,Gasolina,104
antioquia,enero,2026,202601,Renault,Kardian,Gasolina,89
antioquia,enero,2025,202501,Toyota,Corolla Cross,Hibrido No Enchufable,118
antioquia,enero,2026,202601,Toyota,Corolla Cross,Hibrido No Enchufable,86
antioquia,enero,2025,202501,Kia,K3 Cross,Gasolina,69
antioquia,enero,2026,202601,Kia,K3 Cross,Gasolina,80
antioquia,enero,2025,202501,Kenworth,T880,Diesel,4
antioquia,enero,2026,202601,Kenworth,T880,Diesel,68
antioquia,enero,2025,202501,Renault,Arkana,Hibrido No Enchufable,72
antioquia,enero,2026,202601,Renault,Arkana,Hibrido No Enchufable,68
antioquia,enero,2025,202501,Renault,Logan,Gasolina,33
antioquia,enero,2026,202601,Renault,Logan,Gasolina,54
antioquia,enero,2025,202501,Nissan,Frontier,Diesel,73
antioquia,enero,2026,202601,Nissan,Frontier,Diesel,53
antioquia,enero,2025,202501,Byd,Byd Seagull,Eléctrico,60
antioquia,enero,2026,202601,Byd,Byd Seagull,Eléctrico,53
antioquia,enero,2025,202501,Hyundai,Kona Hibrida,Hibrido No Enchufable,19
antioquia,enero,2026,202601,Hyundai,Kona Hibrida,Hibrido No Enchufable,50
antioquia,enero,2025,202501,Chevrolet,Tracker,Gasolina,43
antioquia,enero,2026,202601,Chevrolet,Tracker,Gasolina,49
antioquia,enero,2026,202601,Renault,Duster E-Tech,Hibrido No Enchufable,49
antioquia,enero,2025,202501,Chevrolet,Nhr,Diesel,42
antioquia,enero,2026,202601,Chevrolet,Nhr,Diesel,44
antioquia,enero,2025,202501,Foton,Bj1044Vajb3-1A,Diesel,3
antioquia,enero,2026,202601,Foton,Bj1044Vajb3-1A,Diesel,44
antioquia,enero,2025,202501,Kia,Sonet,Gasolina,28
antioquia,enero,2026,202601,Kia,Sonet,Gasolina,43
antioquia,enero,2025,202501,Renault,Kwid,Gasolina,40
antioquia,enero,2026,202601,Renault,Kwid,Gasolina,41
antioquia,enero,2025,202501,Renault,Stepway,Gasolina,27
antioquia,enero,2026,202601,Renault,Stepway,Gasolina,41
antioquia,enero,2025,202501,Suzuki,Jimny At,Gasolina,2
antioquia,enero,2026,202601,Suzuki,Jimny At,Gasolina,38
antioquia,enero,2025,202501,Mazda,2 Sedan,Gasolina,35
antioquia,enero,2026,202601,Mazda,2 Sedan,Gasolina,38
antioquia,enero,2025,202501,Mazda,Cx-50,Gasolina,38
antioquia,enero,2026,202601,Mazda,Cx-50,Gasolina,36
antioquia,enero,2025,202501,Kia,K3,Gasolina,42
antioquia,enero,2026,202601,Kia,K3,Gasolina,35
antioquia,enero,2025,202501,Toyota,Hilux,Diesel,37
antioquia,enero,2026,202601,Toyota,Hilux,Diesel,35
antioquia,enero,2025,202501,Ford,Ranger,Diesel,28
antioquia,enero,2026,202601,Ford,Ranger,Diesel,34
antioquia,enero,2026,202601,Renault,Koleos E-Tech,Hibrido No Enchufable,33
antioquia,enero,2025,202501,Toyota,Fortuner,Diesel,26
antioquia,enero,2026,202601,Toyota,Fortuner,Diesel,33
antioquia,enero,2026,202601,Kia,Sportage,Hibrido No Enchufable,32
antioquia,enero,2025,202501,Renault,Duster Oroch,Gasolina,42
antioquia,enero,2026,202601,Renault,Duster Oroch,Gasolina,31
antioquia,enero,2025,202501,Mazda,Cx-30,Gasolina,19
antioquia,enero,2026,202601,Mazda,Cx-30,Gasolina,30
antioquia,enero,2025,202501,Kia,Soluto,Gasolina,14
antioquia,enero,2026,202601,Kia,Soluto,Gasolina,30
antioquia,enero,2025,202501,Kia,Stonic,Hibrido No Enchufable,4
antioquia,enero,2026,202601,Kia,Stonic,Hibrido No Enchufable,30
antioquia,enero,2025,202501,Suzuki,Fronx,Hibrido No Enchufable,16
antioquia,enero,2026,202601,Suzuki,Fronx,Hibrido No Enchufable,28
antioquia,enero,2025,202501,Toyota,Yaris Cross,Hibrido No Enchufable,26
antioquia,enero,2026,202601,Toyota,Yaris Cross,Hibrido No Enchufable,28
antioquia,enero,2025,202501,Hyundai,Tucson Hibrida,Hibrido No Enchufable,28
antioquia,enero,2026,202601,Hyundai,Tucson Hibrida,Hibrido No Enchufable,27
antioquia,enero,2026,202601,Jeep,Avenger,Hibrido No Enchufable,24
antioquia,enero,2025,202501,Chery,Icar 03,Eléctrico,1
antioquia,enero,2026,202601,Chery,Icar 03,Eléctrico,24
antioquia,enero,2025,202501,Hyundai,Kona,Gasolina,3
antioquia,enero,2026,202601,Hyundai,Kona,Gasolina,23
antioquia,enero,2025,202501,Seat,Ibiza Xm,Gasolina,4
antioquia,enero,2026,202601,Seat,Ibiza Xm,Gasolina,23
antioquia,enero,2025,202501,Nissan,X-Trail T33,Hibrido No Enchufable,11
antioquia,enero,2026,202601,Nissan,X-Trail T33,Hibrido No Enchufable,20
antioquia,enero,2026,202601,Byd,Byd Song Plus Dm-I,Hibrido No Enchufable,20
antioquia,enero,2025,202501,Chevrolet,N400,Gasolina,7
antioquia,enero,2026,202601,Chevrolet,N400,Gasolina,19
antioquia,enero,2025,202501,Kia,Sportage,Gasolina,21
antioquia,enero,2026,202601,Kia,Sportage,Gasolina,19
antioquia,enero,2025,202501,Byd,Yuan Plus Ev,Eléctrico,3
antioquia,enero,2026,202601,Byd,Yuan Plus Ev,Eléctrico,18
antioquia,enero,2025,202501,Kia,Niro,Hibrido No Enchufable,33
antioquia,enero,2026,202601,Kia,Niro,Hibrido No Enchufable,18
antioquia,enero,2025,202501,Chevrolet,Frr,Diesel,12
antioquia,enero,2026,202601,Chevrolet,Frr,Diesel,17
antioquia,enero,2025,202501,Foton,Bj1030V4Jv2-Bh,Gasolina,5
antioquia,enero,2026,202601,Foton,Bj1030V4Jv2-Bh,Gasolina,17
antioquia,enero,2025,202501,Chevrolet,Colorado,Diesel,15
antioquia,enero,2026,202601,Chevrolet,Colorado,Diesel,17
antioquia,enero,2025,202501,Isuzu,Pick Up,Diesel,4
antioquia,enero,2026,202601,Isuzu,Pick Up,Diesel,16
antioquia,enero,2025,202501,Jmc,Jx1044Tc6,Diesel,7
antioquia,enero,2026,202601,Jmc,Jx1044Tc6,Diesel,16
antioquia,enero,2025,202501,Nissan,Kicks,Gasolina,23
antioquia,enero,2026,202601,Nissan,Kicks,Gasolina,16
antioquia,enero,2025,202501,Byd,Byd Sealion,Eléctrico,2
antioquia,enero,2026,202601,Byd,Byd Sealion,Eléctrico,15
antioquia,enero,2026,202601,Foton,Bj1037V2Mav-6E,Hibrido No Enchufable,15
antioquia,enero,2025,202501,Chevrolet,Nlr,Diesel,14
antioquia,enero,2026,202601,Chevrolet,Nlr,Diesel,15
antioquia,enero,2025,202501,Volkswagen,Polo Pa Highline,Gasolina,8
antioquia,enero,2026,202601,Volkswagen,Polo Pa Highline,Gasolina,15
antioquia,enero,2026,202601,Deepal,S05,Hibrido Enchufable,15
antioquia,enero,2025,202501,Volkswagen,T-Cross Pa Trendline,Gasolina,17
antioquia,enero,2026,202601,Volkswagen,T-Cross Pa Trendline,Gasolina,15
antioquia,enero,2026,202601,Dong Feng,Dfm7000A2F4Bev,Eléctrico,14
antioquia,enero,2026,202601,Ford,Territory,Hibrido No Enchufable,13
antioquia,enero,2026,202601,Foton,Bj1126Vgjfd-F2,Diesel,13
antioquia,enero,2026,202601,Honda,Hr-V Exl-A,Gasolina,13
antioquia,enero,2025,202501,Hyundai,Venue,Gasolina,8
antioquia,enero,2026,202601,Hyundai,Venue,Gasolina,13
antioquia,enero,2025,202501,Volkswagen,Polo Pa Track,Gasolina,5
antioquia,enero,2026,202601,Volkswagen,Polo Pa Track,Gasolina,13
antioquia,enero,2026,202601,Foton,Bj1065Vdjba-2A,Diesel,12
antioquia,enero,2025,202501,Nissan,Kicks P16,Gasolina,17
antioquia,enero,2026,202601,Nissan,Kicks P16,Gasolina,12
