mes,fuente_utm,leads,emitidos
2025-01-01,Colserauto,2,0
2025-01-01,Contact,289,53
2025-01-01,Facebook,1,0
2025-01-01,Google,1861,140
2025-01-01,Orgánico,276,27
2025-01-01,Referidos,3,2
2025-01-01,Web,295,45
2025-02-01,Colserauto,2,0
2025-02-01,Contact,247,46
2025-02-01,Facebook,1,0
2025-02-01,Google,1614,154
2025-02-01,Orgánico,275,31
2025-02-01,Referidos,4,2
2025-02-01,Web,234,35
2025-03-01,Adwords,50,6
2025-03-01,Colserauto,1,0
2025-03-01,Contact,215,45
2025-03-01,Google,1171,125
2025-03-01,Orgánico,338,49
2025-03-01,Referidos,9,1
2025-03-01,Web,304,65
2025-04-01,Colserauto,1,0
2025-04-01,Contact,233,47
2025-04-01,Google,1342,142
2025-04-01,Orgánico,277,44
2025-04-01,Referidos,7,3
2025-04-01,Web,259,39
2025-05-01,Colserauto,1,0
2025-05-01,Contact,241,37
2025-05-01,Feria,2,0
2025-05-01,Google,1861,146
2025-05-01,Orgánico,276,30
2025-05-01,Referidos,6,1
2025-05-01,Sin Dato,2,0
2025-05-01,Web,241,40
2025-06-01,Adwords,1,0
2025-06-01,Contact,196,32
2025-06-01,Google,1718,144
2025-06-01,Orgánico,269,39
2025-06-01,Referidos,7,3
2025-06-01,Sin Dato,2,2
2025-06-01,Web,249,33
2025-07-01,Adwords,2,1
2025-07-01,Colserauto,2,0
2025-07-01,Contact,272,55
2025-07-01,Facebook,1,0
2025-07-01,Google,1865,160
2025-07-01,Orgánico,364,55
2025-07-01,Referidos,9,4
2025-07-01,Sin Dato,6,2
2025-07-01,Web,348,54
2025-08-01,Contact,219,39
2025-08-01,Facebook,1,0
2025-08-01,Google,1777,179
2025-08-01,Orgánico,298,33
2025-08-01,Referidos,13,2
2025-08-01,Sin Dato,1,1
2025-08-01,Web,273,49
2025-09-01,Chatgpt.com,1,0
2025-09-01,Contact,269,52
2025-09-01,Facebook,45,2
2025-09-01,Google,1616,171
2025-09-01,Orgánico,300,48
2025-09-01,Referidos,15,3
2025-09-01,Sin Dato,7,2
2025-09-01,Web,294,59
2025-10-01,Contact,255,55
2025-10-01,Facebook,104,10
2025-10-01,Google,1821,241
2025-10-01,Orgánico,330,59
2025-10-01,Referidos,25,14
2025-10-01,Sin Dato,1,0
2025-10-01,Web,295,60
2025-11-01,Colserauto,1,0
2025-11-01,Contact,158,28
2025-11-01,Facebook,145,11
2025-11-01,Feria,22,3
2025-11-01,Google,1917,152
2025-11-01,Orgánico,392,40
2025-11-01,Referidos,49,11
2025-11-01,Sin Dato,2,0
2025-11-01,Web,263,34
2025-12-01,Chatgpt.com,1,0
2025-12-01,Contact,175,27
2025-12-01,Facebook,169,10
2025-12-01,Feria,1,0
2025-12-01,Google,1967,156
2025-12-01,Orgánico,394,34
2025-12-01,Referidos,68,23
2025-12-01,Sin Dato,6,2
2025-12-01,Web,308,41
