mes,regional,leads,emitidos,tasa_emision
2025-01-01,Antioquia y eje,682,66,0.0967741935483871
2025-01-01,Bogota,1145,131,0.11441048034934498
2025-01-01,Costa atlantica,225,20,0.08888888888888889
2025-01-01,Occidente y centro,422,36,0.08530805687203792
2025-01-01,Oriente,150,7,0.04666666666666667
2025-01-01,Resto del pais,20,0,0
2025-01-01,Sin regional,83,7,0.08433734939759036
2025-02-01,Antioquia y eje,616,56,0.09090909090909091
2025-02-01,Bogota,1017,147,0.14454277286135694
2025-02-01,Costa atlantica,202,21,0.10396039603960396
2025-02-01,Occidente y centro,337,26,0.0771513353115727
2025-02-01,Oriente,125,9,0.072
2025-02-01,Resto del pais,19,0,0
2025-02-01,Sin regional,61,9,0.14754098360655737
2025-03-01,Antioquia y eje,538,68,0.12639405204460966
2025-03-01,Bogota,918,155,0.16884531590413943
2025-03-01,Costa atlantica,157,22,0.14012738853503184
2025-03-01,Occidente y centro,266,25,0.09398496240601503
2025-03-01,Oriente,126,11,0.0873015873015873
2025-03-01,Resto del pais,7,1,0.14285714285714285
2025-03-01,Sin regional,76,9,0.11842105263157894
2025-04-01,Antioquia y eje,528,45,0.08522727272727272
2025-04-01,Bogota,869,145,0.1668584579976985
2025-04-01,Costa atlantica,172,19,0.11046511627906977
2025-04-01,Occidente y centro,304,31,0.10197368421052631
2025-04-01,Oriente,121,13,0.10743801652892562
2025-04-01,Resto del pais,12,1,0.08333333333333333
2025-04-01,Sin regional,113,21,0.18584070796460178
2025-05-01,Antioquia y eje,679,45,0.0662739322533137
2025-05-01,Bogota,1061,143,0.1347785108388313
2025-05-01,Costa atlantica,240,17,0.07083333333333333
2025-05-01,Occidente y centro,359,22,0.06128133704735376
2025-05-01,Oriente,150,10,0.06666666666666667
2025-05-01,Resto del pais,14,0,0
2025-05-01,Sin regional,127,17,0.13385826771653545
2025-06-01,Antioquia y eje,657,50,0.076103500761035
2025-06-01,Bogota,980,134,0.13673469387755102
2025-06-01,Costa atlantica,202,11,0.054455445544554455
2025-06-01,Occidente y centro,340,28,0.08235294117647059
2025-06-01,Oriente,144,13,0.09027777777777778
2025-06-01,Resto del pais,10,1,0.1
2025-06-01,Sin regional,109,16,0.14678899082568808
2025-07-01,Antioquia y eje,772,76,0.09844559585492228
2025-07-01,Bogota,1166,155,0.13293310463121785
2025-07-01,Costa atlantica,230,20,0.08695652173913043
2025-07-01,Occidente y centro,395,42,0.10632911392405063
2025-07-01,Oriente,137,16,0.11678832116788321
2025-07-01,Resto del pais,25,0,0
2025-07-01,Sin regional,144,22,0.1527777777777778
2025-08-01,Antioquia y eje,649,64,0.09861325115562404
2025-08-01,Bogota,1073,148,0.13793103448275862
2025-08-01,Costa atlantica,186,20,0.10752688172043011
2025-08-01,Occidente y centro,379,37,0.09762532981530343
2025-08-01,Oriente,176,19,0.10795454545454546
2025-08-01,Resto del pais,16,1,0.0625
2025-08-01,Sin regional,103,14,0.13592233009708737
2025-09-01,Antioquia y eje,651,87,0.1336405529953917
2025-09-01,Bogota,1046,160,0.15296367112810708
2025-09-01,Costa atlantica,209,23,0.11004784688995216
2025-09-01,Occidente y centro,369,36,0.0975609756097561
2025-09-01,Oriente,172,15,0.0872093023255814
2025-09-01,Resto del pais,19,3,0.15789473684210525
2025-09-01,Sin regional,81,13,0.16049382716049382
2025-10-01,Antioquia y eje,747,101,0.13520749665327977
2025-10-01,Bogota,1170,223,0.1905982905982906
2025-10-01,Costa atlantica,262,32,0.12213740458015267
2025-10-01,Occidente y centro,428,51,0.1191588785046729
2025-10-01,Oriente,180,20,0.1111111111111111
2025-10-01,Resto del pais,14,1,0.07142857142857142
2025-10-01,Sin regional,30,11,0.36666666666666664
2025-11-01,Antioquia y eje,712,53,0.07443820224719101
2025-11-01,Bogota,1281,147,0.11475409836065574
2025-11-01,Costa atlantica,248,23,0.09274193548387097
2025-11-01,Occidente y centro,411,21,0.051094890510948905
2025-11-01,Oriente,184,21,0.11413043478260869
2025-11-01,Resto del pais,21,0,0
2025-11-01,Sin regional,92,14,0.15217391304347827
2025-12-01,Antioquia y eje,769,51,0.06631989596879063
2025-12-01,Bogota,1282,154,0.12012480499219969
2025-12-01,Costa atlantica,258,23,0.08914728682170543
2025-12-01,Occidente y centro,414,29,0.07004830917874397
2025-12-01,Oriente,214,20,0.09345794392523364
2025-12-01,Resto del pais,37,0,0
2025-12-01,Sin regional,115,16,0.1391304347826087
