fecha_mes,regional,ventas
2025-01-01,Antioquia y eje,3658
2025-01-01,Bogota,5700
2025-01-01,Costa atlantica,1300
2025-01-01,Occidente y centro,1919
2025-01-01,Oriente,1655
2025-01-01,Resto del pais,167
2025-02-01,Antioquia y eje,4052
2025-02-01,Bogota,7320
2025-02-01,Costa atlantica,1524
2025-02-01,Occidente y centro,2003
2025-02-01,Oriente,1712
2025-02-01,Resto del pais,212
2025-03-01,Antioquia y eje,4234
2025-03-01,Bogota,8036
2025-03-01,Costa atlantica,1577
2025-03-01,Occidente y centro,2351
2025-03-01,Oriente,1961
2025-03-01,Resto del pais,202
2025-04-01,Antioquia y eje,4054
2025-04-01,Bogota,7228
2025-04-01,Costa atlantica,1584
2025-04-01,Occidente y centro,2418
2025-04-01,Oriente,1906
2025-04-01,Resto del pais,141
2025-05-01,Antioquia y eje,4788
2025-05-01,Bogota,8146
2025-05-01,Costa atlantica,1733
2025-05-01,Occidente y centro,2586
2025-05-01,Oriente,2220
2025-05-01,Resto del pais,256
2025-06-01,Antioquia y eje,4194
2025-06-01,Bogota,7674
2025-06-01,Costa atlantica,1576
2025-06-01,Occidente y centro,2283
2025-06-01,Oriente,2057
2025-06-01,Resto del pais,216
2025-07-01,Antioquia y eje,5540
2025-07-01,Bogota,10035
2025-07-01,Costa atlantica,2132
2025-07-01,Occidente y centro,3064
2025-07-01,Oriente,2854
2025-07-01,Resto del pais,278
2025-08-01,Antioquia y eje,5047
2025-08-01,Bogota,8869
2025-08-01,Costa atlantica,1964
2025-08-01,Occidente y centro,2946
2025-08-01,Oriente,2236
2025-08-01,Resto del pais,265
2025-09-01,Antioquia y eje,5948
2025-09-01,Bogota,10243
2025-09-01,Costa atlantica,2219
2025-09-01,Occidente y centro,3357
2025-09-01,Oriente,2822
2025-09-01,Resto del pais,305
2025-10-01,Antioquia y eje,5787
2025-10-01,Bogota,10578
2025-10-01,Costa atlantica,2331
2025-10-01,Occidente y centro,3325
2025-10-01,Oriente,2946
2025-10-01,Resto del pais,300
2025-11-01,Antioquia y eje,5260
2025-11-01,Bogota,10156
2025-11-01,Costa atlantica,2261
2025-11-01,Occidente y centro,2818
2025-11-01,Oriente,2577
2025-11-01,Resto del pais,304
2025-12-01,Antioquia y eje,5993
2025-12-01,Bogota,13793
2025-12-01,Costa atlantica,2965
2025-12-01,Occidente y centro,3929
2025-12-01,Oriente,3121
2025-12-01,Resto del pais,377
2026-01-01,Antioquia y eje,4877
2026-01-01,Bogota,8071
2026-01-01,Costa atlantica,2083
2026-01-01,Occidente y centro,2545
2026-01-01,Oriente,2156
2026-01-01,Resto del pais,266
2026-02-01,Antioquia y eje,5989
2026-02-01,Bogota,10924
2026-02-01,Costa atlantica,2178
2026-02-01,Occidente y centro,3008
2026-02-01,Oriente,2676
2026-02-01,Resto del pais,404
2026-03-01,Antioquia y eje,6682
2026-03-01,Bogota,12221
2026-03-01,Costa atlantica,2602
2026-03-01,Occidente y centro,3510
2026-03-01,Oriente,2837
2026-03-01,Resto del pais,330
