fecha_mes,regional,tecnologia_grupo,ventas
2025-01-01,Antioquia y eje,Diesel,680
2025-01-01,Antioquia y eje,Electricos,291
2025-01-01,Antioquia y eje,Gasolina,1878
2025-01-01,Antioquia y eje,Hibridos,750
2025-01-01,Bogota,Diesel,1128
2025-01-01,Bogota,Electricos,552
2025-01-01,Bogota,Gasolina,2318
2025-01-01,Bogota,Hibridos,1609
2025-01-01,Costa atlantica,Diesel,183
2025-01-01,Costa atlantica,Electricos,11
2025-01-01,Costa atlantica,Gasolina,960
2025-01-01,Costa atlantica,Hibridos,142
2025-01-01,Occidente y centro,Diesel,224
2025-01-01,Occidente y centro,Electricos,74
2025-01-01,Occidente y centro,Gasolina,1274
2025-01-01,Occidente y centro,Hibridos,344
2025-01-01,Oriente,Diesel,360
2025-01-01,Oriente,Electricos,38
2025-01-01,Oriente,Gasolina,967
2025-01-01,Oriente,Hibridos,284
2025-01-01,Resto del pais,Diesel,25
2025-01-01,Resto del pais,Electricos,1
2025-01-01,Resto del pais,Gasolina,125
2025-01-01,Resto del pais,Hibridos,16
2025-02-01,Antioquia y eje,Diesel,575
2025-02-01,Antioquia y eje,Electricos,314
2025-02-01,Antioquia y eje,Gasolina,2254
2025-02-01,Antioquia y eje,Hibridos,903
2025-02-01,Bogota,Diesel,1444
2025-02-01,Bogota,Electricos,647
2025-02-01,Bogota,Gasolina,3146
2025-02-01,Bogota,Hibridos,2055
2025-02-01,Costa atlantica,Diesel,207
2025-02-01,Costa atlantica,Electricos,15
2025-02-01,Costa atlantica,Gasolina,1112
2025-02-01,Costa atlantica,Hibridos,172
2025-02-01,Occidente y centro,Diesel,234
2025-02-01,Occidente y centro,Electricos,90
2025-02-01,Occidente y centro,Gasolina,1282
2025-02-01,Occidente y centro,Hibridos,392
2025-02-01,Oriente,Diesel,358
2025-02-01,Oriente,Electricos,24
2025-02-01,Oriente,Gasolina,1029
2025-02-01,Oriente,Hibridos,299
2025-02-01,Resto del pais,Diesel,45
2025-02-01,Resto del pais,Gasolina,140
2025-02-01,Resto del pais,Hibridos,27
2025-03-01,Antioquia y eje,Diesel,570
2025-03-01,Antioquia y eje,Electricos,312
2025-03-01,Antioquia y eje,Gasolina,2250
2025-03-01,Antioquia y eje,Hibridos,1096
2025-03-01,Bogota,Diesel,1415
2025-03-01,Bogota,Electricos,858
2025-03-01,Bogota,Gasolina,3474
2025-03-01,Bogota,Hibridos,2238
2025-03-01,Costa atlantica,Diesel,223
2025-03-01,Costa atlantica,Electricos,19
2025-03-01,Costa atlantica,Gasolina,1090
2025-03-01,Costa atlantica,Hibridos,243
2025-03-01,Occidente y centro,Diesel,264
2025-03-01,Occidente y centro,Electricos,128
2025-03-01,Occidente y centro,Gasolina,1511
2025-03-01,Occidente y centro,Hibridos,438
2025-03-01,Oriente,Diesel,363
2025-03-01,Oriente,Electricos,67
2025-03-01,Oriente,Gasolina,1113
2025-03-01,Oriente,Hibridos,397
2025-03-01,Resto del pais,Diesel,33
2025-03-01,Resto del pais,Electricos,1
2025-03-01,Resto del pais,Gasolina,146
2025-03-01,Resto del pais,Hibridos,22
2025-04-01,Antioquia y eje,Diesel,503
2025-04-01,Antioquia y eje,Electricos,321
2025-04-01,Antioquia y eje,Gasolina,2231
2025-04-01,Antioquia y eje,Hibridos,975
2025-04-01,Bogota,Diesel,1217
2025-04-01,Bogota,Electricos,793
2025-04-01,Bogota,Gasolina,3029
2025-04-01,Bogota,Hibridos,2143
2025-04-01,Costa atlantica,Diesel,204
2025-04-01,Costa atlantica,Electricos,18
2025-04-01,Costa atlantica,Gasolina,1114
2025-04-01,Costa atlantica,Hibridos,212
2025-04-01,Occidente y centro,Diesel,293
2025-04-01,Occidente y centro,Electricos,123
2025-04-01,Occidente y centro,Gasolina,1524
2025-04-01,Occidente y centro,Hibridos,476
2025-04-01,Oriente,Diesel,331
2025-04-01,Oriente,Electricos,32
2025-04-01,Oriente,Gasolina,1128
2025-04-01,Oriente,Hibridos,411
2025-04-01,Resto del pais,Diesel,18
2025-04-01,Resto del pais,Electricos,1
2025-04-01,Resto del pais,Gasolina,102
2025-04-01,Resto del pais,Hibridos,20
2025-05-01,Antioquia y eje,Diesel,657
2025-05-01,Antioquia y eje,Electricos,379
2025-05-01,Antioquia y eje,Gasolina,2484
2025-05-01,Antioquia y eje,Hibridos,1263
2025-05-01,Bogota,Diesel,1569
2025-05-01,Bogota,Electricos,831
2025-05-01,Bogota,Gasolina,3038
2025-05-01,Bogota,Hibridos,2682
2025-05-01,Costa atlantica,Diesel,224
2025-05-01,Costa atlantica,Electricos,20
2025-05-01,Costa atlantica,Gasolina,1210
2025-05-01,Costa atlantica,Hibridos,278
2025-05-01,Occidente y centro,Diesel,326
2025-05-01,Occidente y centro,Electricos,134
2025-05-01,Occidente y centro,Gasolina,1568
2025-05-01,Occidente y centro,Hibridos,549
2025-05-01,Oriente,Diesel,497
2025-05-01,Oriente,Electricos,57
2025-05-01,Oriente,Gasolina,1186
2025-05-01,Oriente,Hibridos,476
2025-05-01,Resto del pais,Diesel,53
2025-05-01,Resto del pais,Gasolina,164
2025-05-01,Resto del pais,Hibridos,39
2025-06-01,Antioquia y eje,Diesel,553
2025-06-01,Antioquia y eje,Electricos,244
2025-06-01,Antioquia y eje,Gasolina,2338
2025-06-01,Antioquia y eje,Hibridos,1047
2025-06-01,Bogota,Diesel,1245
2025-06-01,Bogota,Electricos,732
2025-06-01,Bogota,Gasolina,3351
2025-06-01,Bogota,Hibridos,2319
2025-06-01,Costa atlantica,Diesel,203
2025-06-01,Costa atlantica,Electricos,23
2025-06-01,Costa atlantica,Gasolina,1119
2025-06-01,Costa atlantica,Hibridos,225
2025-06-01,Occidente y centro,Diesel,288
2025-06-01,Occidente y centro,Electricos,92
2025-06-01,Occidente y centro,Gasolina,1447
2025-06-01,Occidente y centro,Hibridos,451
