fecha_mes,tecnologia_grupo,ventas
2025-01-01,Diesel,2600
2025-01-01,Electricos,967
2025-01-01,Gas,165
2025-01-01,Gasolina,7522
2025-01-01,Hibridos,3145
2025-02-01,Diesel,2863
2025-02-01,Electricos,1090
2025-02-01,Gas,59
2025-02-01,Gasolina,8963
2025-02-01,Hibridos,3848
2025-03-01,Diesel,2868
2025-03-01,Electricos,1385
2025-03-01,Gas,90
2025-03-01,Gasolina,9584
2025-03-01,Hibridos,4434
2025-04-01,Diesel,2566
2025-04-01,Electricos,1288
2025-04-01,Gas,112
2025-04-01,Gasolina,9128
2025-04-01,Hibridos,4237
2025-05-01,Diesel,3326
2025-05-01,Electricos,1421
2025-05-01,Gas,45
2025-05-01,Gasolina,9650
2025-05-01,Hibridos,5287
2025-06-01,Diesel,2687
2025-06-01,Electricos,1143
2025-06-01,Gas,53
2025-06-01,Gasolina,9566
2025-06-01,Hibridos,4551
2025-07-01,Diesel,3303
2025-07-01,Electricos,1727
2025-07-01,Gas,66
2025-07-01,Gasolina,11329
2025-07-01,Hibridos,7478
2025-08-01,Diesel,3331
2025-08-01,Electricos,1649
2025-08-01,Gas,33
2025-08-01,Gasolina,10246
2025-08-01,Hibridos,6068
2025-09-01,Diesel,4022
2025-09-01,Electricos,1864
2025-09-01,Gas,53
2025-09-01,Gasolina,11850
2025-09-01,Hibridos,7105
2025-10-01,Diesel,4404
2025-10-01,Electricos,2091
2025-10-01,Gas,55
2025-10-01,Gasolina,11813
2025-10-01,Hibridos,6904
2025-11-01,Diesel,3482
2025-11-01,Electricos,2016
2025-11-01,Gas,223
2025-11-01,Gasolina,11476
2025-11-01,Hibridos,6179
2025-12-01,Diesel,4798
2025-12-01,Electricos,3241
2025-12-01,Gas,129
2025-12-01,Gasolina,13623
2025-12-01,Hibridos,8387
2026-01-01,Diesel,3657
2026-01-01,Electricos,1760
2026-01-01,Gas,210
2026-01-01,Gasolina,8932
2026-01-01,Hibridos,5439
2026-02-01,Diesel,5449
2026-02-01,Electricos,2499
2026-02-01,Gas,130
2026-02-01,Gasolina,10499
2026-02-01,Hibridos,6602
2026-03-01,Diesel,4145
2026-03-01,Electricos,5087
2026-03-01,Gas,90
2026-03-01,Gasolina,11218
2026-03-01,Hibridos,7642
2026-04-01,Diesel,3183
2026-04-01,Electricos,5188
2026-04-01,Gas,86
2026-04-01,Gasolina,10697
2026-04-01,Hibridos,7450
2026-04-01,Otros,46
