fuente_utm,medio_utm,campana_utm,leads,emitidos,perdidos,tasa_emision,participacion
google,cpc,canal digital autos,14204,1256,12897,0.08842579555054914,0.454528
google,pmax,performance max digital autos,5301,486,4800,0.09168081494057725,0.169632
Orgánico,Sin dato,Sin dato,3734,472,3241,0.12640599892876273,0.119488
web,boton,quiero un seguro,3277,528,2723,0.16112297833384193,0.104864
contact,Sin dato,Sin dato,2164,346,1804,0.1598890942698706,0.069248
facebook,meta,canal_digital_autos,317,22,292,0.0694006309148265,0.010144
google,pmax competencia,performance max digital autos competencia,275,27,247,0.09818181818181818,0.0088
google,Sin dato,Sin dato,246,84,161,0.34146341463414637,0.007872
google,demand gen,demandgen digital autos,213,9,203,0.04225352112676056,0.006816
referidos,Sin dato,Sin dato,211,67,141,0.3175355450236967,0.006752
facebook,meta,canal digital autos,134,8,126,0.05970149253731343,0.004288
google,pmax,performance max digital hogar,119,19,99,0.15966386554621848,0.003808
contact,Cristian Lopez,Sin dato,104,32,72,0.3076923076923077,0.003328
web,Sin dato,Sin dato,63,19,42,0.30158730158730157,0.002016
contact,Catherine Agudelo,Sin dato,61,17,44,0.2786885245901639,0.001952
contact,Julian Paez,Sin dato,52,10,42,0.19230769230769232,0.001664
google,cpc,canal digital hogar,46,8,38,0.17391304347826086,0.001472
adwords,cpc,canal digital autos,43,5,38,0.11627906976744186,0.001376
contact,David Jimenez,Sin dato,40,6,34,0.15,0.00128
contact,Jonny Ruz,Sin dato,32,12,20,0.375,0.001024
google,cpc,canal digital autos prueba,32,2,30,0.0625,0.001024
contact,Ivan Pedrozo,Sin dato,31,10,21,0.3225806451612903,9.92e-4
contact,Janin Rubio,Sin dato,31,8,23,0.25806451612903225,9.92e-4
contact,Ingrid Sierra,Sin dato,30,12,18,0.4,9.6e-4
Sin dato,Sin dato,Sin dato,27,9,18,0.3333333333333333,8.64e-4
contact,Luis Valderrama,Sin dato,24,4,20,0.16666666666666666,7.68e-4
feria,link,feria del automovil,23,3,20,0.13043478260869565,7.36e-4
Contact,Catherine Agudelo,Sin dato,13,3,10,0.23076923076923078,4.16e-4
google,cpc,always on seguros autos,13,0,13,0,4.16e-4
google,Ingrid Sierra,canal digital autos,12,5,7,0.4166666666666667,3.84e-4
contact,cpc,canal digital autos,12,4,8,0.3333333333333333,3.84e-4
contact,Nataly Chica,Sin dato,11,6,5,0.5454545454545454,3.52e-4
Contact,Sin dato,Sin dato,11,4,7,0.36363636363636365,3.52e-4
facebook,meta,canal_digital_autos_hotsale,11,2,9,0.18181818181818182,3.52e-4
Orgánico,cpc,canal digital autos,10,4,6,0.4,3.2e-4
Orgánico,boton,quiero un seguro,10,2,8,0.2,3.2e-4
Contact,Cristian Lopez,Sin dato,9,3,6,0.3333333333333333,2.88e-4
contact,Erika Cardona,Sin dato,8,4,4,0.5,2.56e-4
Contact,Ingrid Sierra,Sin dato,8,3,5,0.375,2.56e-4
google,David Jimenez,canal digital autos,8,1,7,0.125,2.56e-4
colserauto,Sin dato,Sin dato,8,0,8,0,2.56e-4
Contact,Julian Paez,Sin dato,7,3,4,0.42857142857142855,2.24e-4
google,Luis Valderrama,canal digital autos,7,3,4,0.42857142857142855,2.24e-4
Contact,David Jimenez,Sin dato,7,2,5,0.2857142857142857,2.24e-4
