departamento_shp,depto_key,Diesel,Gasolina,Hibridos,Electricos,Gas
AMAZONAS,AMAZONAS,11,50,1,0,0
ANTIOQUIA,ANTIOQUIA,6965,21910,11797,4006,244
ARAUCA,ARAUCA,9,22,2,0,0
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,16,99,2,3,0
ATLÁNTICO,ATLANTICO,1118,6555,1823,337,78
"BOGOTÁ, D.C.",BOGOTA D C,2522,18022,28647,10421,80
BOLÍVAR,BOLIVAR,582,3375,397,72,13
BOYACÁ,BOYACA,1235,2309,749,34,2
CALDAS,CALDAS,511,3051,2330,362,0
CAQUETÁ,CAQUETA,270,807,238,4,0
CASANARE,CASANARE,192,977,209,9,0
CAUCA,CAUCA,122,854,152,8,0
CESAR,CESAR,469,1763,420,12,4
CHOCÓ,CHOCO,12,13,2,0,0
CUNDINAMARCA,CUNDINAMARCA,16233,23282,6687,1354,530
CÓRDOBA,CORDOBA,455,1605,393,19,0
GUAVIARE,GUAVIARE,0,14,0,0,0
HUILA,HUILA,592,1802,243,33,1
LA GUAJIRA,LA GUAJIRA,101,116,10,0,0
MAGDALENA,MAGDALENA,206,973,143,13,0
META,META,1292,2931,906,173,14
NARIÑO,NARINO,523,1900,365,18,0
NORTE DE SANTANDER,NORTE DE SANTANDER,693,3629,2563,131,1
PUTUMAYO,PUTUMAYO,24,36,1,0,0
QUINDIO,QUINDIO,252,1834,162,225,0
RISARALDA,RISARALDA,617,3483,550,254,2
SANTANDER,SANTANDER,2311,6938,1643,469,44
SUCRE,SUCRE,240,1546,326,1,1
TOLIMA,TOLIMA,496,2221,727,160,1
VALLE DEL CAUCA,VALLE DEL CAUCA,2181,12633,6135,1764,68
