regional,tecnologia_grupo,ventas,participacion_regional
Antioquia y eje,Diesel,8345,0.14311684302594796
Antioquia y eje,Electricos,4847,0.08312610403196762
Antioquia y eje,Gasolina,30278,0.5192680375242243
Antioquia y eje,Hibridos,14839,0.25448901541786
Bogota,Diesel,18755,0.175005598686175
Bogota,Electricos,11775,0.1098742161839355
Bogota,Gasolina,41304,0.38541355628545837
Bogota,Hibridos,35334,0.3297066288444312
Costa atlantica,Diesel,3171,0.13745123537061119
Costa atlantica,Electricos,454,0.019679237104464672
Costa atlantica,Gasolina,15933,0.6906371911573472
Costa atlantica,Hibridos,3512,0.15223233636757694
Occidente y centro,Diesel,3914,0.11886179355583225
Occidente y centro,Electricos,1983,0.060220474353912964
Occidente y centro,Gasolina,19410,0.5894500288499499
Occidente y centro,Hibridos,7622,0.2314677032403049
Oriente,Diesel,5531,0.19749339427265586
Oriente,Electricos,807,0.028815253874169822
Oriente,Gasolina,15807,0.5644147682639434
Oriente,Hibridos,5861,0.20927658358923087
Resto del pais,Diesel,534,0.17664571617598412
Resto del pais,Electricos,16,0.005292755540853457
Resto del pais,Gasolina,2018,0.6675487925901422
Resto del pais,Hibridos,455,0.15051273569302018
