departamento_shp,depto_key,Diesel,Gasolina,Hibridos,Electricos,Gas
AMAZONAS,AMAZONAS,22,70,1,0,0
ANTIOQUIA,ANTIOQUIA,9824,27387,15226,6217,369
ARAUCA,ARAUCA,16,27,4,0,0
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,17,109,4,5,0
ATLÁNTICO,ATLANTICO,1479,8234,2436,467,105
"BOGOTÁ, D.C.",BOGOTA D C,3584,23595,37596,15789,141
BOLÍVAR,BOLIVAR,736,4417,554,113,14
BOYACÁ,BOYACA,1544,2846,950,50,2
CALDAS,CALDAS,644,3865,2585,470,15
CAQUETÁ,CAQUETA,348,1125,371,6,0
CASANARE,CASANARE,251,1222,270,15,0
CAUCA,CAUCA,164,1065,201,11,0
CESAR,CESAR,650,2350,532,12,5
CHOCÓ,CHOCO,13,14,3,0,0
CUNDINAMARCA,CUNDINAMARCA,21190,27039,7742,1621,697
CÓRDOBA,CORDOBA,595,2014,523,28,0
GUAINÍA,GUAINIA,1,0,0,0,0
GUAVIARE,GUAVIARE,4,18,0,0,0
HUILA,HUILA,747,2200,295,39,1
LA GUAJIRA,LA GUAJIRA,157,128,14,1,0
MAGDALENA,MAGDALENA,244,1244,210,15,0
META,META,1674,3745,1195,246,16
NARIÑO,NARINO,710,2367,462,24,0
NORTE DE SANTANDER,NORTE DE SANTANDER,911,4496,3289,210,1
PUTUMAYO,PUTUMAYO,38,47,2,0,0
QUINDIO,QUINDIO,326,2280,236,312,0
RISARALDA,RISARALDA,804,4424,772,345,2
SANTANDER,SANTANDER,3035,8741,2095,639,51
SUCRE,SUCRE,323,1973,452,3,1
TOLIMA,TOLIMA,585,2644,875,190,1
VALLE DEL CAUCA,VALLE DEL CAUCA,2865,15713,8411,2400,92
