regional,tecnologia_grupo,ventas,participacion_regional
Antioquia y eje,Diesel,11598,0.15317564087325172
Antioquia y eje,Electricos,7344,0.09699274931653394
Antioquia y eje,Gasolina,37956,0.5012876896865961
Antioquia y eje,Hibridos,18819,0.2485439201236182
Bogota,Diesel,24774,0.17931903066099192
Bogota,Electricos,17410,0.12601696632791917
Bogota,Gasolina,50634,0.36649874055415615
Bogota,Hibridos,45338,0.3281652624569327
Costa atlantica,Diesel,4184,0.1399143927233815
Costa atlantica,Electricos,639,0.021368378812199038
Costa atlantica,Gasolina,20360,0.6808453718566078
Costa atlantica,Hibridos,4721,0.15787185660781167
Occidente y centro,Diesel,5071,0.1208301563095692
Occidente y centro,Electricos,2664,0.06347693480747237
Occidente y centro,Gasolina,23989,0.57160217308425465
Occidente y centro,Hibridos,10244,0.24409073579870377
Oriente,Diesel,7164,0.20086356754331858
Oriente,Electricos,1145,0.032103403801940225
Oriente,Gasolina,19828,0.5559356249649526
Oriente,Hibridos,7529,0.2110974036897886
Resto del pais,Diesel,710,0.17648521004225703
Resto del pais,Electricos,26,0.006462838677603778
Resto del pais,Gasolina,2632,0.6542381307481978
Resto del pais,Hibridos,655,0.16281382053194135
